host_yrs_exp,room_private,accommodates,bedrooms,number_of_reviews,n_bathrooms,bathroom_private,log_price,has_parking,has_heating,has_ac,has_tv
9,0,2,1,25,1.0,1,4.0943445622220995,0,1,0,1
6,0,4,2,142,1.0,1,4.8283137373023,1,1,1,1
6,0,6,2,17,1.0,1,4.74493212836325,1,1,1,1
8,0,2,1,2,1.0,1,4.86753445045558,1,1,1,1
5,0,16,4,0,2.0,1,6.36647044773144,1,1,1,1
5,0,8,3,177,2.0,1,5.58724865840025,1,1,1,1
7,1,2,1,146,1.0,1,4.30406509320417,1,1,1,0
4,0,6,2,32,1.0,1,5.09375020080676,1,1,1,1
4,0,4,2,131,1.0,1,4.34380542185368,1,1,1,1
2,0,2,1,4,1.0,1,4.6539603501575195,1,1,1,1
9,0,10,4,19,2.0,1,5.579729825986219,1,1,1,1
8,0,2,1,235,1.0,1,4.9199809258281295,1,1,1,1
5,0,4,1,0,2.0,1,5.12989871492307,1,1,1,1
7,0,4,1,0,1.0,1,5.09375020080676,1,1,1,1
6,0,4,2,131,1.0,1,5.44241771052179,1,1,1,1
5,0,4,1,23,1.0,1,4.86753445045558,1,1,1,1
8,1,4,1,214,1.0,1,4.53259949315326,1,1,0,0
2,0,2,1,43,1.0,1,5.07517381523383,1,1,1,1
5,1,2,1,279,1.0,0,3.97029191355212,1,1,1,1
5,0,2,1,0,2.0,1,5.19849703126583,0,1,1,1
6,0,2,1,0,1.0,1,4.69134788222914,1,1,1,1
9,0,2,1,33,1.0,1,4.34380542185368,1,1,1,1
7,0,15,2,18,1.5,1,6.084499413075171,1,1,1,1
8,1,2,1,168,1.0,1,4.02535169073515,0,1,0,0
4,1,2,1,283,1.5,0,4.11087386417331,1,1,1,1
6,0,7,2,411,1.5,1,4.9199809258281295,1,1,1,1
8,0,6,2,60,1.0,1,4.30406509320417,1,1,0,1
7,1,2,1,11,1.0,0,3.97029191355212,1,1,1,1
2,0,2,1,0,1.0,1,4.07753744390572,0,1,1,1
5,0,2,1,35,1.0,1,4.81218435537242,1,1,1,1
5,0,10,3,11,2.0,1,6.31896811374643,1,1,1,1
5,0,2,1,10,1.0,1,4.36944785246702,1,1,1,1
5,0,2,1,1,1.0,1,5.010635294096259,1,1,1,1
8,0,7,4,0,2.0,1,5.30330490805908,1,1,1,1
6,0,11,4,18,2.0,1,5.010635294096259,1,0,0,1
1,1,4,1,0,1.5,1,5.12396397940326,1,1,0,1
2,0,2,1,5,1.0,1,4.51085950651685,1,1,1,1
4,0,3,1,386,1.0,1,4.88280192258637,1,1,1,1
